DDO 154   4.3 66 230 Irr  -14.4  1.2  50  2.0  7.1  8.7 <=6.8  0.005 0.8 1.0 ---
Ho I      3.8 12  50 Irr  -14.9  1.8  53  0.4  7.4  8.3 <=7.2  0.009 0.8 1.2 ---
Ho II     3.4 41 177 Irr  -16.9  3.7  36  0.6  8.3  8.9 <=7.6  0.048 1.2 1.3 ---
IC 2574   4.0 53  56 Irr  -18.0  7.5 134 12.9  8.7  9.3 <=7.9  0.070 2.1 4.8 ---
NGC 4214  2.9 44  65 Irr  -17.4  2.9  57  0.9  8.8  8.7   7.0  0.107 0.7 0.5 ---
NGC 2976  3.6 65 335 Sc   -17.8  3.8  92  1.2  9.1  8.3   7.8  0.087 0.9 0.8 1.2
NGC 4449  4.2 60 230 Irr  -19.1  2.8 ---  ---  9.3  9.2   6.9a 0.371 0.9 0.8 ---
NGC 3077  3.8 46  45 Sd   -17.7  3.0 ---  ---  9.3  9.1   6.5a 0.086 0.7 0.3 ---
NGC 7793  3.9 50 290 Scd  -18.7  6.0 115  1.5  9.5  9.1   ---  0.235 1.3 1.3 ---
NGC  925  9.2 66 287 SBcd -20.0 14.2 136  6.5  9.9  9.8   8.4  0.561 4.1 4.1 ---
NGC 2403  3.2 63 124 SBc  -19.4  7.3 134  1.7  9.7  9.5   7.3  0.382 1.6 2.0 1.9
NGC  628  7.3  7  20 Sc   -20.0 10.4 217  0.8 10.1  9.7   9.0  0.807 2.3 2.4 2.4
NGC 3198 13.8 72 215 SBc  -20.7 13.0 150  2.8 10.1 10.1   8.8  0.931 3.2 3.4 2.7
NGC 3184 11.1 16 179 SBc  -19.9 11.9 210  2.8 10.3  9.6   9.2  0.901 2.4 2.8 2.9
NGC 4736  4.7 41 296 Sab  -20.0  5.3 156  0.2 10.3  8.7   8.6  0.481 1.1 0.9 0.8
NGC 3351 10.1 41 192 SBb  -19.7 10.6 196  0.7 10.4  9.2   9.0  0.940 2.2 1.8 2.5
NGC 6946  5.9 33 243 SBc  -20.9  9.8 186  1.4 10.5  9.8   9.6  3.239 2.5 2.7 1.9
NGC 3627  9.3 62 173 SBb  -20.8 13.9 192  1.2 10.6  9.0   9.1  2.217 2.8 1.9 2.2
NGC 5194  8.0 20 172 SBc  -21.1  9.0 219  0.8 10.6  9.5   9.4  3.125 2.8 2.4 2.3
NGC 3521 10.7 73 340 SBbc -20.9 12.9 227  1.4 10.7 10.0   9.6  2.104 2.9 3.1 2.2
NGC 2841 14.1 74 153 Sb   -21.2 14.2 302  0.6 10.8 10.1   8.5  0.741 4.0 5.3 ---
NGC 5055 10.1 59 102 Sbc  -20.6 17.4 192  0.7 10.8 10.1   9.7  2.123 3.2 3.1 3.1
NGC 7331 14.7 76 168 SAb  -21.7 19.6 244  1.3 10.9 10.1   9.7  2.987 3.3 4.5 3.1
